age,sd,median
0,1.8931,49.9
1,1.9465,54.7
2,2.0005,58.4
3,2.0444,61.4
4,2.0808,63.9
5,2.1115,65.9
6,2.1403,67.6
7,2.1711,69.2
8,2.2055,70.6
9,2.2433,72.0
10,2.2849,73.3
11,2.3293,74.5
12,2.3762,75.7
13,2.426,76.9
14,2.4773,78.0
15,2.5303,79.1
16,2.5844,80.2
17,2.6406,81.2
18,2.6973,82.3
19,2.7553,83.2
20,2.814,84.2
21,2.8742,85.1
22,2.9342,86.0
23,2.9951,86.9
24,3.0551,87.8
25,3.116,88.0
26,3.1757,88.8
27,3.2353,89.6
28,3.2928,90.4
29,3.3501,91.2
30,3.4052,91.9
31,3.4591,92.7
32,3.5118,93.4
33,3.5625,94.1
34,3.612,94.8
35,3.6604,95.4
36,3.7069,96.1
37,3.7523,96.7
38,3.7976,97.4
39,3.8409,98.0
40,3.8831,98.6
41,3.9242,99.2
42,3.9651,99.9
43,4.0039,100.4
44,4.0435,101.0
45,4.081,101.6
46,4.1194,102.2
47,4.1567,102.8
48,4.1941,103.3
49,4.2314,103.9
50,4.2677,104.4
51,4.3052,105.0
52,4.3417,105.6
53,4.3783,106.1
54,4.4149,106.7
55,4.4517,107.2
56,4.4886,107.8
57,4.5245,108.3
58,4.5616,108.9
59,4.5977,109.4
60,4.6339,110.0
